mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5145875930786132,0.1028786902795359,0.006734275817871093,0.000939803841048556,0.01,3,1,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",0.7472527472527473,0.8241758241758241,0.7777777777777778,0.6888888888888889,0.7666666666666667,0.7609523809523809,0.04403130173972519,169,0.8476454293628809,0.8282548476454293,0.8370165745856354,0.850828729281768,0.8370165745856354,0.8401524310922698,0.008140614842251148
0.5469365596771241,0.06907700678962557,0.004956483840942383,0.00019514685224346668,0.01,3,1,2,100,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.9}",0.7472527472527473,0.8241758241758241,0.7555555555555555,0.6777777777777778,0.7555555555555555,0.7520634920634921,0.04640277593014746,520,0.8476454293628809,0.8227146814404432,0.8370165745856354,0.8535911602209945,0.8342541436464088,0.8390443978512726,0.01076386806967476
0.5436227798461915,0.11802233427727137,0.005473041534423828,0.0017268345436444823,0.01,3,1,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",0.7362637362637363,0.8461538461538461,0.7888888888888889,0.6555555555555556,0.7555555555555555,0.7564835164835164,0.0627487531423733,309,0.8393351800554016,0.814404432132964,0.8370165745856354,0.8425414364640884,0.8425414364640884,0.8351678119404357,0.010589083988569266
0.9289330959320068,0.09286436492869211,0.01337747573852539,0.011332800904103857,0.01,3,1,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",0.7582417582417582,0.8131868131868132,0.8,0.7,0.7888888888888889,0.772063492063492,0.04034564960055616,26,0.8670360110803325,0.8448753462603878,0.861878453038674,0.8867403314917127,0.8535911602209945,0.8628242604184203,0.014128166969062881
0.9750233650207519,0.09326967432807567,0.004480743408203125,0.0008395813713645182,0.01,3,1,2,200,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.9}",0.7472527472527473,0.8241758241758241,0.8111111111111111,0.6888888888888889,0.7777777777777778,0.7698412698412698,0.04854268448693456,37,0.8642659279778393,0.8448753462603878,0.8646408839779005,0.8784530386740331,0.856353591160221,0.8617177576100763,0.01102314450643657
0.9661991119384765,0.09434491216764823,0.008814048767089844,0.010564511380175954,0.01,3,1,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",0.7582417582417582,0.8351648351648352,0.7888888888888889,0.6777777777777778,0.7777777777777778,0.7675702075702076,0.05153137831897811,67,0.8670360110803325,0.8365650969529086,0.861878453038674,0.8812154696132597,0.856353591160221,0.860609724369079,0.014586036801505458
1.2706132411956788,0.08837609958541011,0.006271457672119141,0.002152379901869052,0.01,3,1,2,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.8}",0.7692307692307693,0.8351648351648352,0.7666666666666667,0.7111111111111111,0.8,0.7764346764346766,0.041034216209452766,11,0.8808864265927978,0.8642659279778393,0.8839779005524862,0.8950276243093923,0.8839779005524862,0.8816271559970005,0.00992557775955905
1.3965684413909911,0.08346873767851172,0.006299066543579102,0.0022759224087241293,0.01,3,1,2,300,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.9}",0.7472527472527473,0.8241758241758241,0.7777777777777778,0.6888888888888889,0.7888888888888889,0.7653968253968253,0.04548144159288917,89,0.8808864265927978,0.8698060941828255,0.8839779005524862,0.9005524861878453,0.8784530386740331,0.8827351892379977,0.010078855468024474
1.3035085678100586,0.01951443057835377,0.011223173141479493,0.014029389368243427,0.01,3,1,2,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 1.0}",0.7362637362637363,0.8461538461538461,0.7666666666666667,0.6888888888888889,0.7555555555555555,0.7587057387057387,0.051183019676626994,229,0.8753462603878116,0.8670360110803325,0.8784530386740331,0.9060773480662984,0.8729281767955801,0.879968167000811,0.013580494021482512
0.42374892234802247,0.025298207239957085,0.004487133026123047,0.0007765195776844878,0.01,3,1,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.7472527472527473,0.8131868131868132,0.7777777777777778,0.6888888888888889,0.7666666666666667,0.7587545787545787,0.040989896632696844,218,0.8476454293628809,0.8282548476454293,0.8397790055248618,0.850828729281768,0.8425414364640884,0.8418098896558057,0.00779476499787871
